Date:18:46:16 	 IP:123.57.215.223 	 account=null 	 content=??????绰????? 	 relevance=null 	 result=无法识别 
Date:18:48:03 	 IP:123.57.215.223 	 account=null 	 content=刘老师电话多少？ 	 relevance=null 	 result=请问你要查询哪位老师的电话？ 
Date:18:48:57 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:18:50:38 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:18:50:42 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:18:51:26 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:18:51:34 	 IP:123.57.215.223 	 account=null 	 content=刘老师电话多少？ 	 relevance=null 	 result=请问你要查询哪位老师的电话？ 
Date:18:52:07 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:18:52:07 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:19:11:16 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:19:11:20 	 IP:123.57.215.223 	 account=null 	 content= 	 relevance=null 	 result=无法识别 
Date:19:11:40 	 IP:123.57.215.223 	 account=null 	 content=老师电话是多少啊 	 relevance=null 	 result=请问你要查询哪位老师的电话？ 
Date:19:12:08 	 IP:123.57.215.223 	 account=null 	 content=我想查询我的成绩 	 relevance=null 	 result=同学你好，你的成绩为{result} 
Date:19:16:01 	 IP:123.57.215.223 	 account=null 	 content=老师电话是多少啊 	 relevance=null 	 result=请问你要查询哪位老师的电话？ 
Date:19:16:11 	 IP:123.57.215.223 	 account=null 	 content=十一放几天假 	 relevance=null 	 result=无法识别 
Date:19:16:26 	 IP:123.57.215.223 	 account=null 	 content=国庆放假多少天 	 relevance=null 	 result=国庆的放假时间是{result} 
