Date:11:22:58 	 IP:127.0.0.1 	 account=null 	 content=查成绩 	 relevance=null 	 result=查询成绩 
Date:11:52:43 	 IP:127.0.0.1 	 account=null 	 content=查成绩 	 relevance=null 	 result=查询成绩 
Date:11:52:57 	 IP:127.0.0.1 	 account=null 	 content=导员的电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:11:53:55 	 IP:127.0.0.1 	 account=null 	 content=导员的电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:11:54:31 	 IP:127.0.0.1 	 account=null 	 content=导员的电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:11:54:50 	 IP:127.0.0.1 	 account=null 	 content=导员的电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:11:56:15 	 IP:127.0.0.1 	 account=null 	 content=查成绩 	 relevance=null 	 result=查询成绩 
Date:11:56:17 	 IP:127.0.0.1 	 account=null 	 content=罗建导员的电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:11:57:39 	 IP:127.0.0.1 	 account=null 	 content=导员都有谁 	 relevance=null 	 result=辅导员都有哪些 
Date:11:57:57 	 IP:127.0.0.1 	 account=null 	 content=刘健导员电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:12:02:06 	 IP:127.0.0.1 	 account=null 	 content=刘健辅导员电话 	 relevance=null 	 result=辅导员电话|北软教师.list 
Date:12:02:35 	 IP:127.0.0.1 	 account=null 	 content=刘健导员电话 	 relevance=null 	 result=老师电话|北软教师.list 
Date:15:06:02 	 IP:127.0.0.1 	 account=null 	 content=辅导员都有谁 	 relevance=null 	 result=辅导员都有哪些 
Date:15:06:15 	 IP:127.0.0.1 	 account=null 	 content=大一新生的导员都有水 	 relevance=null 	 result=辅导员都有哪些 
Date:15:06:19 	 IP:127.0.0.1 	 account=null 	 content=大一新生的导员都有那些人 	 relevance=null 	 result=辅导员都有哪些 
